gene1,gene2,corr
SGK1,CAV2,0.6559887646688396
SGK1,ZFP36L2,0.6203810830532923
SGK1,CAV1,0.6074381053878356
SGK1,KLF6,0.6373070509886993
SGK1,ITPRIP,0.6702242064460977
SGK1,TSHZ2,0.6328959029169257
SGK1,TGFBR2,0.6467865869802741
SGK1,LIX1L,0.6103865066267989
SGK1,CLEC1A,0.6403471422949617
CREB3L2,MAML2,0.6088171012292201
CREB3L2,SH3GLB2,0.6013845798094186
CREB3L2,FNDC3B,0.6497929702188696
SDHD,FDX1,0.7102136033771613
SDHD,DLAT,0.6302336556419141
SDHD,RBM7,0.6317063268891002
PDCD1LG2,CELF2,0.7156479459757294
PDCD1LG2,SLFN11,0.6747298738056268
PDCD1LG2,LCP2,0.7816336310255269
PDCD1LG2,ZNF831,0.6642103215988651
PDCD1LG2,TLR2,0.6106091905719627
PDCD1LG2,CRTAM,0.6806905674557185
PDCD1LG2,CTSS,0.7564117293856035
PDCD1LG2,PTGER4,0.7040475944782489
PDCD1LG2,CD3E,0.6724902981477605
PDCD1LG2,KCNA3,0.6494876146384048
PDCD1LG2,ZEB2,0.677500934291161
PDCD1LG2,SLAMF7,0.6933046423803643
PDCD1LG2,CFH,0.6429754920276421
PDCD1LG2,HLA-DPA1,0.6368526281823116
PDCD1LG2,CD244,0.6385947725244154
PDCD1LG2,CD53,0.7500111735303346
PDCD1LG2,SLCO2B1,0.6541959021646362
PDCD1LG2,STK17B,0.6631851104154081
PDCD1LG2,TNFRSF9,0.6037248202732078
PDCD1LG2,KLHL6,0.71845545948086
PDCD1LG2,ARHGAP15,0.6655773535163869
PDCD1LG2,BANK1,0.6058509649853419
PDCD1LG2,NCF4,0.6203152187904374
PDCD1LG2,CD163,0.6708280367539216
PDCD1LG2,SEL1L3,0.6080138294913691
PDCD1LG2,IL7,0.6442555453046076
PDCD1LG2,GNG2,0.6157744432608127
PDCD1LG2,RAB8B,0.6018430177706249
PDCD1LG2,NLRP3,0.6092262217648522
PDCD1LG2,DOCK11,0.7020375944042649
PDCD1LG2,CLEC12A,0.6249253720182054
PDCD1LG2,PARP15,0.6698010162385746
